City,Province,Ycase,Scase,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,TotalTransportCost_mUSD
Datong,Shanxi ,Y2050,S3,56.19172645,9.55270799,-2.18E-12,28.00222296,0,16.79477911,0.917395197,7.03E-05,29.9981501,11.60350339,30.05542193,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,16.47372458
Guangzhou,Guangdong ,YCurrent,S1,157.6833043,196.0077338,2.76E-11,94.42781303,0,33.58955823,1.372880442,7.74E-05,29.19761285,11.19955866,102.7917891,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Guangzhou,Guangdong ,YCurrent,S2,113.0497469,140.870556,-2.21E-12,67.67863778,0,25.19216867,1.14513782,5.50E-05,29.20830266,11.20495265,76.25746402,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Guangzhou,Guangdong ,YCurrent,S3,72.17082744,90.0644215,0,43.24417123,0,16.79477911,0.917395197,4.42E-05,29.22980897,11.21580456,51.76858809,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Guangzhou,Guangdong ,Y2030,S1,169.224049,112.1783644,2.06E-12,72.10024483,0,33.58955823,1.372880442,8.48E-05,29.32080995,11.26172293,84.24907415,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Guangzhou,Guangdong ,Y2030,S2,120.8038689,81.38526213,4.63E-12,51.52082051,0,25.19216867,1.14513782,7.58E-05,29.33128966,11.26701091,62.96292209,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Guangzhou,Guangdong ,Y2030,S3,76.47242972,52.93198427,-1.06E-12,32.71783454,0,16.79477911,0.917395197,5.24E-05,29.3528977,11.27791416,43.29121374,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Guangzhou,Guangdong ,Y2040,S1,182.1302818,49.77046839,3.16E-11,72.39547615,0,33.58955823,1.372880442,0.000113634,29.60072153,11.40296409,74.66945856,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Guangzhou,Guangdong ,Y2040,S2,127.7550538,39.67469382,2.57E-11,51.03532845,0,25.19216867,1.14513782,8.86E-05,29.57217989,11.38856221,56.11330702,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Guangzhou,Guangdong ,Y2040,S3,79.66050715,28.00320422,1.82E-12,31.99389231,0,16.79477911,0.917395197,5.65E-05,29.56596799,11.38542773,38.94294145,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
