t,s,w
t895,0.292,0.004
t896,0.201,0.004
t897,0.096,0.008
t898,0.004,0.017
t899,0,0.032
t900,0,0.054
t901,0,0.068
t902,0,0.098
t903,0,0.111
t904,0,0.091
t905,0,0.085
t906,0,0.083
t907,0,0.07
t908,0,0.053
t909,0,0.042
t910,0,0.026
t911,0,0.014
t912,0.004,0.012
t913,0.079,0.013
t914,0.246,0.115
t915,0.644,0.295
t916,0.802,0.432
t917,0.843,0.602
t918,0.813,0.763
t919,0.72,0.866
t920,0.547,0.909
t921,0.288,0.908
t922,0.03,0.846
t923,0,0.78
t924,0,0.654
t925,0,0.473
t926,0,0.295
t927,0,0.186
t928,0,0.152
t929,0,0.127
t930,0,0.111
t931,0,0.099
t932,0,0.106
t933,0,0.126
t934,0,0.114
t935,0,0.088
t936,0.022,0.051
t937,0.182,0.046
t938,0.303,0.027
t939,0.452,0.003
t940,0.573,0.001
t941,0.499,0.001
t942,0.375,0.003
t943,0.243,0.004
t944,0.166,0.002
t945,0.089,0
t946,0.01,0
t947,0,0
t948,0,0
t949,0,0
t950,0,0
t951,0,0
t952,0,0
t953,0,0
t954,0,0
t955,0,0
t956,0,0
t957,0,0
t958,0,0
t959,0,0
t960,0.005,0
t961,0.087,0
t962,0.226,0.018
t963,0.421,0.07
t964,0.592,0.14
t965,0.657,0.23
t966,0.723,0.345
t967,0.685,0.463
t968,0.517,0.556
t969,0.231,0.583
t970,0.014,0.484
t971,0,0.364
t972,0,0.315
t973,0,0.398
t974,0,0.541
t975,0,0.645
t976,0,0.682
t977,0,0.645
t978,0,0.522
t979,0,0.386
t980,0,0.28
t981,0,0.21
t982,0,0.149
t983,0,0.083
t984,0.048,0.034
t985,0.352,0.012
t986,0.559,0.009
t987,0.683,0.026
t988,0.752,0.043
t989,0.769,0.05
t990,0.656,0.051
t991,0.432,0.032
t992,0.214,0.006
t993,0.069,0
t994,0.005,0.003
t995,0,0.031
t996,0,0.077
t997,0,0.154
t998,0,0.244
t999,0,0.306
t1000,0,0.315
t1001,0,0.281
t1002,0,0.238
t1003,0,0.175
t1004,0,0.169
t1005,0,0.145
t1006,0,0.188
t1007,0,0.182
t1008,0.013,0.141
t1009,0.172,0.065
t1010,0.415,0.07
t1011,0.579,0.121
t1012,0.633,0.173
t1013,0.697,0.231
t1014,0.692,0.279
t1015,0.628,0.328
t1016,0.48,0.327
t1017,0.254,0.251
t1018,0.033,0.202
t1019,0,0.188
t1020,0,0.184
t1021,0,0.203
t1022,0,0.213
t1023,0,0.219
t1024,0,0.225
t1025,0,0.199
t1026,0,0.186
t1027,0,0.2
t1028,0,0.208
t1029,0,0.189
t1030,0,0.159
t1031,0,0.143
t1032,0.05,0.131
t1033,0.347,0.112
t1034,0.585,0.074
t1035,0.733,0.035
