t,s,w
t651,0.355,0.112
t652,0.545,0.081
t653,0.65,0.061
t654,0.603,0.04
t655,0.425,0.026
t656,0.233,0.016
t657,0.058,0.011
t658,0,0.011
t659,0,0.017
t660,0,0.025
t661,0,0.041
t662,0,0.069
t663,0,0.102
t664,0,0.134
t665,0,0.157
t666,0,0.188
t667,0,0.225
t668,0,0.281
t669,0,0.358
t670,0,0.39
t671,0,0.381
t672,0.083,0.393
t673,0.274,0.294
t674,0.372,0.22
t675,0.344,0.341
t676,0.348,0.291
t677,0.313,0.259
t678,0.273,0.259
t679,0.193,0.252
t680,0.112,0.256
t681,0.03,0.283
t682,0,0.311
t683,0,0.346
t684,0,0.368
t685,0,0.394
t686,0,0.416
t687,0,0.413
t688,0,0.38
t689,0,0.323
t690,0,0.247
t691,0,0.172
t692,0,0.105
t693,0,0.05
t694,0,0.031
t695,0,0.013
t696,0.032,0.002
t697,0.127,0.002
t698,0.19,0.004
t699,0.146,0.014
t700,0.131,0.051
t701,0.137,0.083
t702,0.146,0.16
t703,0.105,0.256
t704,0.039,0.391
t705,0.007,0.578
t706,0,0.693
t707,0,0.748
t708,0,0.779
t709,0,0.75
t710,0,0.7
t711,0,0.657
t712,0,0.646
t713,0,0.501
t714,0,0.544
t715,0,0.503
t716,0,0.41
t717,0,0.323
t718,0,0.28
t719,0,0.271
t720,0.041,0.266
t721,0.315,0.381
t722,0.549,0.311
t723,0.57,0.269
t724,0.535,0.212
t725,0.488,0.156
t726,0.39,0.125
t727,0.189,0.115
t728,0.097,0.128
t729,0.029,0.132
t730,0,0.125
t731,0,0.084
t732,0,0.04
t733,0,0.022
t734,0,0.033
t735,0,0.084
t736,0,0.156
t737,0,0.262
t738,0,0.341
t739,0,0.34
t740,0,0.341
t741,0,0.355
t742,0,0.351
t743,0,0.352
t744,0.085,0.333
t745,0.351,0.161
t746,0.572,0.121
t747,0.711,0.24
t748,0.772,0.288
t749,0.779,0.319
t750,0.722,0.32
t751,0.592,0.308
t752,0.395,0.287
t753,0.139,0.355
t754,0,0.541
t755,0,0.689
t756,0,0.768
t757,0,0.766
t758,0,0.739
t759,0,0.724
t760,0,0.72
t761,0,0.706
t762,0,0.687
t763,0,0.676
t764,0,0.674
t765,0,0.678
t766,0,0.682
t767,0,0.695
t768,0.068,0.673
t769,0.242,0.547
t770,0.456,0.645
t771,0.535,0.673
t772,0.57,0.672
t773,0.595,0.647
t774,0.524,0.591
t775,0.366,0.467
t776,0.176,0.266
t777,0.046,0.145
t778,0,0.112
t779,0,0.081
t780,0,0.053
t781,0,0.041
t782,0,0.055
t783,0,0.108
t784,0,0.196
t785,0,0.266
t786,0,0.283
t787,0,0.254
t788,0,0.257
t789,0,0.328
t790,0,0.343
t791,0,0.294
t792,0.038,0.296
t793,0.123,0.274
t794,0.066,0.294
t795,0.109,0.337
t796,0.151,0.356
t797,0.16,0.309
t798,0.131,0.233
t799,0.178,0.2
t800,0.26,0.179
t801,0.117,0.171
t802,0,0.173
t803,0,0.115
t804,0,0.045
t805,0,0.017
t806,0,0.008
t807,0,0.013
t808,0,0.024
t809,0,0.041
t810,0,0.076
t811,0,0.154
t812,0,0.241
t813,0,0.294
t814,0,0.355
t815,0,0.442
t816,0.039,0.473
t817,0.17,0.311
t818,0.433,0.334
t819,0.628,0.652
t820,0.665,0.722
t821,0.45,0.732
t822,0.395,0.748
t823,0.334,0.732
t824,0.228,0.66
t825,0.085,0.731
t826,0,0.866
t827,0,0.9
t828,0,0.904
t829,0,0.905
t830,0,0.904
t831,0,0.903
t832,0,0.898
t833,0,0.888
t834,0,0.876
t835,0,0.861
t836,0,0.834
t837,0,0.803
t838,0,0.782
t839,0,0.754
t840,0.094,0.661
t841,0.32,0.364
t842,0.507,0.22
t843,0.639,0.348
t844,0.704,0.33
t845,0.679,0.289
t846,0.619,0.285
t847,0.339,0.258
t848,0.084,0.181
t849,0.021,0.158
t850,0,0.211
t851,0,0.326
t852,0,0.391
t853,0,0.436
t854,0,0.522
t855,0,0.608
t856,0,0.596
t857,0,0.47
t858,0,0.235
t859,0,0.059
t860,0,0.028
t861,0,0.026
t862,0,0
t863,0,0
t864,0.007,0.007
t865,0.042,0.058
t866,0.111,0.111
t867,0.143,0.131
t868,0.129,0.138
t869,0.107,0.128
t870,0.094,0.138
t871,0.068,0.201
t872,0.043,0.285
t873,0.009,0.388
t874,0,0.479
t875,0,0.498
t876,0,0.494
t877,0,0.459
t878,0,0.466
t879,0,0.559
t880,0,0.684
t881,0,0.807
t882,0,0.873
t883,0,0.907
t884,0,0.927
t885,0,0.944
t886,0,0.939
t887,0,0.91
t888,0.048,0.924
t889,0.159,0.926
t890,0.388,0.879
t891,0.707,0.814
t892,0.832,0.762
t893,0.838,0.675
t894,0.694,0.578
t895,0.591,0.466
t896,0.431,0.405
t897,0.184,0.407
t898,0.001,0.413
t899,0,0.435
t900,0,0.455
t901,0,0.46
t902,0,0.355
t903,0,0.286
t904,0,0.23
t905,0,0.209
t906,0,0.23
t907,0,0.189
t908,0,0.18
t909,0,0.166
t910,0,0.078
t911,0,0.031
t912,0.075,0.008
t913,0.239,0.008
t914,0.446,0.001
t915,0.532,0
t916,0.7,0
t917,0.575,0.001
t918,0.292,0.004
t919,0.199,0.007
t920,0.173,0.016
t921,0.054,0.026
t922,0,0.025
t923,0,0.014
t924,0,0.013
t925,0,0.015
t926,0,0.014
t927,0,0.013
t928,0,0.028
t929,0,0.058
t930,0,0.12
t931,0,0.202
t932,0,0.272
t933,0,0.256
t934,0,0.202
t935,0,0.157
t936,0.142,0.141
t937,0.306,0.18
t938,0.202,0.206
t939,0.333,0.188
t940,0.679,0.17
t941,0.733,0.132
t942,0.591,0.107
t943,0.326,0.112
t944,0.164,0.115
t945,0.06,0.115
t946,0.001,0.155
t947,0,0.205
t948,0,0.218
t949,0,0.24
t950,0,0.195
t951,0,0.173
t952,0,0.141
t953,0,0.11
t954,0,0.093
t955,0,0.086
t956,0,0.068
t957,0,0.047
t958,0,0.039
t959,0,0.045
t960,0.02,0.039
t961,0.12,0.015
t962,0.216,0
t963,0.319,0
t964,0.38,0
t965,0.342,0.003
t966,0.286,0.01
t967,0.213,0.018
t968,0.126,0.027
t969,0.046,0.016
t970,0,0.017
t971,0,0.01
t972,0,0.005
t973,0,0.005
t974,0,0.014
t975,0,0.048
t976,0,0.097
t977,0,0.14
t978,0,0.189
t979,0,0.24
t980,0,0.269
t981,0,0.254
t982,0,0.247
t983,0,0.245
t984,0.11,0.225
t985,0.337,0.134
t986,0.519,0.139
t987,0.652,0.126
t988,0.748,0.125
t989,0.76,0.115
t990,0.697,0.084
t991,0.564,0.048
t992,0.372,0.022
t993,0.133,0.017
t994,0.002,0.029
t995,0,0.068
t996,0,0.102
t997,0,0.107
t998,0,0.093
t999,0,0.093
t1000,0,0.117
t1001,0,0.132
t1002,0,0.127
t1003,0,0.124
t1004,0,0.105
t1005,0,0.059
t1006,0,0.044
t1007,0,0.062
t1008,0.025,0.099
t1009,0.109,0.085
t1010,0.269,0.042
t1011,0.339,0.021
t1012,0.35,0.006
t1013,0.313,0
t1014,0.287,0
t1015,0.26,0
t1016,0.196,0
t1017,0.078,0
t1018,0.001,0.001
t1019,0,0.004
t1020,0,0.009
t1021,0,0.013
t1022,0,0.011
t1023,0,0.005
t1024,0,0.004
t1025,0,0.005
t1026,0,0.009
t1027,0,0.026
t1028,0,0.071
t1029,0,0.149
t1030,0,0.197
t1031,0,0.225
t1032,0.053,0.237
t1033,0.194,0.237
t1034,0.34,0.205
t1035,0.31,0.099
t1036,0.234,0.043
t1037,0.181,0.045
t1038,0.149,0.072
t1039,0.105,0.123
t1040,0.052,0.232
t1041,0.015,0.347
t1042,0,0.267
t1043,0,0.235
t1044,0,0.275
t1045,0,0.329
t1046,0,0.361
t1047,0,0.361
t1048,0,0.352
t1049,0,0.35
t1050,0,0.302
t1051,0,0.261
t1052,0,0.243
t1053,0,0.278
t1054,0,0.29
t1055,0,0.254
t1056,0.045,0.196
t1057,0.143,0.187
t1058,0.205,0.161
