t,s,w
t916,0.266,0.432
t917,0.274,0.444
t918,0.241,0.38
t919,0.181,0.332
t920,0.111,0.37
t921,0.053,0.422
t922,0.006,0.373
t923,0,0.225
t924,0,0.153
t925,0,0.114
t926,0,0.088
t927,0,0.061
t928,0,0.039
t929,0,0.03
t930,0,0.032
t931,0,0.035
t932,0,0.043
t933,0,0.049
t934,0,0.049
t935,0,0.078
t936,0.024,0.145
t937,0.167,0.332
t938,0.344,0.529
t939,0.42,0.564
t940,0.42,0.53
t941,0.39,0.476
t942,0.338,0.422
t943,0.292,0.407
t944,0.206,0.429
t945,0.094,0.417
t946,0.011,0.317
t947,0,0.251
t948,0,0.22
t949,0,0.2
t950,0,0.183
t951,0,0.207
t952,0,0.204
t953,0,0.179
t954,0,0.148
t955,0,0.115
t956,0,0.117
t957,0,0.152
t958,0,0.179
t959,0,0.184
t960,0.009,0.223
t961,0.074,0.316
t962,0.151,0.343
t963,0.204,0.32
t964,0.24,0.268
t965,0.285,0.203
t966,0.328,0.146
t967,0.31,0.106
t968,0.223,0.086
t969,0.102,0.084
t970,0.016,0.056
t971,0,0.016
t972,0,0.002
t973,0,0
t974,0,0
t975,0,0.002
t976,0,0.011
t977,0,0.006
t978,0,0.002
t979,0,0.001
t980,0,0.002
t981,0,0.002
t982,0,0.008
t983,0,0.027
t984,0.018,0.039
t985,0.128,0.05
t986,0.284,0.031
t987,0.426,0.011
t988,0.511,0.004
t989,0.55,0.005
t990,0.575,0.017
t991,0.553,0.052
t992,0.443,0.08
t993,0.235,0.101
t994,0.036,0.19
t995,0,0.339
t996,0,0.412
t997,0,0.407
t998,0,0.401
t999,0,0.394
t1000,0,0.379
t1001,0,0.328
t1002,0,0.239
t1003,0,0.141
t1004,0,0.064
t1005,0,0.03
t1006,0,0.013
t1007,0,0.011
t1008,0.017,0.008
t1009,0.087,0.002
t1010,0.189,0.001
t1011,0.272,0.001
t1012,0.322,0
t1013,0.36,0
t1014,0.373,0.001
t1015,0.32,0.009
t1016,0.206,0.037
t1017,0.098,0.067
t1018,0.016,0.076
t1019,0,0.08
t1020,0,0.101
t1021,0,0.139
t1022,0,0.158
t1023,0,0.167
t1024,0,0.191
t1025,0,0.21
t1026,0,0.22
t1027,0,0.209
t1028,0,0.183
t1029,0,0.147
t1030,0,0.159
t1031,0,0.146
t1032,0.022,0.116
t1033,0.115,0.118
t1034,0.181,0.192
t1035,0.219,0.202
t1036,0.208,0.163
t1037,0.197,0.155
t1038,0.19,0.161
t1039,0.158,0.161
t1040,0.122,0.154
t1041,0.056,0.145
t1042,0.008,0.143
t1043,0,0.223
t1044,0,0.3
t1045,0,0.352
t1046,0,0.346
t1047,0,0.302
t1048,0,0.281
t1049,0,0.217
t1050,0,0.157
t1051,0,0.147
t1052,0,0.155
t1053,0,0.138
t1054,0,0.104
t1055,0,0.09
t1056,0.011,0.072
t1057,0.076,0.08
t1058,0.236,0.059
t1059,0.309,0.023
t1060,0.358,0.02
t1061,0.38,0.039
t1062,0.386,0.071
t1063,0.326,0.118
t1064,0.215,0.194
t1065,0.11,0.263
t1066,0.019,0.234
t1067,0,0.239
t1068,0,0.233
t1069,0,0.179
t1070,0,0.106
t1071,0,0.044
t1072,0,0.017
t1073,0,0.009
t1074,0,0.009
t1075,0,0.016
t1076,0,0.022
t1077,0,0.02
t1078,0,0.003
t1079,0,0
t1080,0.018,0
t1081,0.079,0
t1082,0.165,0
t1083,0.378,0.001
t1084,0.652,0.03
t1085,0.728,0.069
t1086,0.673,0.101
t1087,0.53,0.133
t1088,0.353,0.178
t1089,0.174,0.238
t1090,0.029,0.272
t1091,0,0.38
t1092,0,0.436
t1093,0,0.407
t1094,0,0.343
t1095,0,0.291
t1096,0,0.255
t1097,0,0.227
t1098,0,0.227
t1099,0,0.241
t1100,0,0.231
t1101,0,0.22
t1102,0,0.225
t1103,0,0.249
t1104,0.05,0.218
t1105,0.241,0.168
t1106,0.4,0.323
t1107,0.468,0.308
t1108,0.57,0.265
t1109,0.653,0.251
t1110,0.655,0.245
t1111,0.548,0.212
t1112,0.368,0.192
t1113,0.181,0.22
t1114,0.03,0.289
t1115,0,0.417
t1116,0,0.395
t1117,0,0.316
t1118,0,0.284
t1119,0,0.272
t1120,0,0.231
t1121,0,0.196
t1122,0,0.193
t1123,0,0.196
t1124,0,0.219
t1125,0,0.217
t1126,0,0.192
t1127,0,0.167
t1128,0.041,0.127
t1129,0.104,0.041
t1130,0.22,0.111
