t,s,w
t622,0,0.187
t623,0,0.219
t624,0.03,0.226
t625,0.206,0.089
t626,0.4,0.017
t627,0.539,0.002
t628,0.608,0.001
t629,0.625,0.003
t630,0.572,0.002
t631,0.455,0.001
t632,0.273,0
t633,0.103,0.004
t634,0.006,0.074
t635,0,0.212
t636,0,0.312
t637,0,0.311
t638,0,0.245
t639,0,0.176
t640,0,0.113
t641,0,0.065
t642,0,0.037
t643,0,0.022
t644,0,0.015
t645,0,0.015
t646,0,0.025
t647,0,0.042
t648,0.007,0.053
t649,0.061,0.033
t650,0.124,0.031
t651,0.186,0.024
t652,0.232,0.015
t653,0.216,0.01
t654,0.163,0.009
t655,0.108,0.017
t656,0.06,0.036
t657,0.025,0.062
t658,0,0.073
t659,0,0.075
t660,0,0.064
t661,0,0.053
t662,0,0.048
t663,0,0.048
t664,0,0.05
t665,0,0.054
t666,0,0.055
t667,0,0.051
t668,0,0.036
t669,0,0.015
t670,0,0.006
t671,0,0.005
t672,0.002,0.005
t673,0.036,0.002
t674,0.091,0
t675,0.139,0
t676,0.148,0
t677,0.144,0
t678,0.117,0
t679,0.1,0.001
t680,0.074,0.001
t681,0.032,0.001
t682,0.001,0.004
t683,0,0.017
t684,0,0.03
t685,0,0.031
t686,0,0.024
t687,0,0.015
t688,0,0.008
t689,0,0.003
t690,0,0.001
t691,0,0.001
t692,0,0.002
t693,0,0.005
t694,0,0.01
t695,0,0.014
t696,0.003,0.009
t697,0.031,0.001
t698,0.065,0
t699,0.097,0
t700,0.111,0
t701,0.112,0
t702,0.111,0
t703,0.092,0
t704,0.059,0.002
t705,0.023,0.022
t706,0,0.102
t707,0,0.216
t708,0,0.272
t709,0,0.294
t710,0,0.495
t711,0,0.877
t712,0,0.88
t713,0,0.744
t714,0,0.59
t715,0,0.516
t716,0,0.512
t717,0,0.523
t718,0,0.469
t719,0,0.392
t720,0.025,0.313
t721,0.217,0.432
t722,0.437,0.629
t723,0.611,0.694
t724,0.678,0.682
t725,0.614,0.591
t726,0.589,0.459
t727,0.506,0.337
t728,0.344,0.261
t729,0.139,0.237
t730,0.008,0.235
t731,0,0.251
t732,0,0.245
t733,0,0.223
t734,0,0.185
t735,0,0.133
t736,0,0.075
t737,0,0.043
t738,0,0.024
t739,0,0.012
t740,0,0.003
t741,0,0
t742,0,0
t743,0,0
t744,0.022,0
t745,0.158,0
t746,0.472,0.001
t747,0.637,0.005
t748,0.723,0.005
t749,0.74,0.005
t750,0.697,0.005
t751,0.583,0.005
t752,0.416,0.008
t753,0.201,0.011
t754,0.021,0.004
t755,0,0.002
t756,0,0.004
t757,0,0.012
t758,0,0.035
t759,0,0.093
t760,0,0.219
t761,0,0.409
t762,0,0.538
t763,0,0.601
t764,0,0.625
t765,0,0.639
t766,0,0.649
t767,0,0.657
t768,0.008,0.651
t769,0.057,0.578
t770,0.115,0.44
t771,0.166,0.379
t772,0.194,0.402
t773,0.219,0.418
t774,0.198,0.433
t775,0.167,0.395
t776,0.12,0.259
t777,0.057,0.17
t778,0.004,0.148
t779,0,0.103
t780,0,0.084
t781,0,0.113
t782,0,0.179
t783,0,0.208
t784,0,0.191
t785,0,0.155
t786,0,0.126
t787,0,0.108
t788,0,0.102
t789,0,0.103
t790,0,0.134
t791,0,0.2
t792,0.003,0.28
t793,0.034,0.382
t794,0.075,0.439
t795,0.125,0.476
t796,0.188,0.426
t797,0.259,0.479
t798,0.34,0.541
t799,0.393,0.592
t800,0.351,0.613
t801,0.172,0.51
t802,0.019,0.367
t803,0,0.332
t804,0,0.323
t805,0,0.3
t806,0,0.274
t807,0,0.244
t808,0,0.223
t809,0,0.223
t810,0,0.223
t811,0,0.192
t812,0,0.144
t813,0,0.11
t814,0,0.095
t815,0,0.087
t816,0.054,0.064
t817,0.279,0.011
t818,0.486,0.015
t819,0.601,0.061
t820,0.668,0.032
t821,0.66,0.006
t822,0.571,0.001
t823,0.432,0.002
t824,0.295,0.004
t825,0.162,0.012
t826,0.019,0.047
t827,0,0.096
t828,0,0.119
t829,0,0.103
t830,0,0.086
t831,0,0.089
t832,0,0.084
t833,0,0.072
t834,0,0.057
t835,0,0.031
t836,0,0.017
t837,0,0.014
t838,0,0.007
t839,0,0.001
t840,0.055,0.001
t841,0.201,0.015
t842,0.297,0.035
t843,0.352,0.192
t844,0.52,0.557
t845,0.33,0.442
t846,0.317,0.305
t847,0.358,0.272
t848,0.351,0.237
t849,0.171,0.236
t850,0.019,0.199
t851,0,0.227
t852,0,0.323
t853,0,0.381
t854,0,0.436
t855,0,0.47
t856,0,0.513
t857,0,0.56
t858,0,0.585
t859,0,0.574
t860,0,0.472
t861,0,0.255
t862,0,0.127
t863,0,0.142
t864,0.011,0.179
t865,0.088,0.171
t866,0.309,0.18
t867,0.53,0.221
t868,0.566,0.3
t869,0.555,0.316
t870,0.495,0.329
t871,0.327,0.27
t872,0.158,0.096
t873,0.039,0.032
t874,0.001,0.083
t875,0,0.241
t876,0,0.43
t877,0,0.675
t878,0,0.88
t879,0,0.93
t880,0,0.93
t881,0,0.885
t882,0,0.802
t883,0,0.718
t884,0,0.715
t885,0,0.757
t886,0,0.729
t887,0,0.712
t888,0.008,0.756
t889,0.068,0.829
t890,0.159,0.856
t891,0.268,0.809
t892,0.291,0.668
t893,0.159,0.525
t894,0.068,0.516
t895,0.079,0.636
t896,0.084,0.751
t897,0.046,0.739
t898,0.002,0.595
t899,0,0.557
t900,0,0.596
t901,0,0.623
t902,0,0.566
t903,0,0.498
t904,0,0.482
t905,0,0.446
t906,0,0.429
t907,0,0.451
t908,0,0.436
t909,0,0.422
t910,0,0.37
t911,0,0.371
t912,0.012,0.371
t913,0.078,0.412
t914,0.151,0.383
t915,0.221,0.357
t916,0.197,0.391
t917,0.154,0.42
t918,0.105,0.388
t919,0.093,0.349
