t,s,w
t1281,0.166,0.011
t1282,0.018,0.024
t1283,0,0.033
t1284,0,0.041
t1285,0,0.053
t1286,0,0.075
t1287,0,0.12
t1288,0,0.179
t1289,0,0.226
t1290,0,0.251
t1291,0,0.307
t1292,0,0.411
t1293,0,0.488
t1294,0,0.466
t1295,0,0.37
t1296,0.092,0.229
t1297,0.276,0.042
t1298,0.441,0.001
t1299,0.532,0.003
t1300,0.491,0.014
t1301,0.3,0.014
t1302,0.173,0.017
t1303,0.123,0.025
t1304,0.09,0.038
t1305,0.053,0.044
t1306,0.006,0.032
t1307,0,0.027
t1308,0,0.03
t1309,0,0.04
t1310,0,0.053
t1311,0,0.07
t1312,0,0.097
t1313,0,0.124
t1314,0,0.14
t1315,0,0.137
t1316,0,0.101
t1317,0,0.074
t1318,0,0.107
t1319,0,0.164
t1320,0.031,0.193
t1321,0.122,0.161
t1322,0.26,0.165
t1323,0.452,0.168
t1324,0.734,0.13
t1325,0.736,0.054
t1326,0.68,0.019
t1327,0.522,0.013
t1328,0.321,0.012
t1329,0.163,0.028
t1330,0.022,0.104
t1331,0,0.243
t1332,0,0.364
t1333,0,0.403
t1334,0,0.408
t1335,0,0.354
t1336,0,0.219
t1337,0,0.095
t1338,0,0.07
t1339,0,0.095
t1340,0,0.105
t1341,0,0.1
t1342,0,0.082
t1343,0,0.047
t1344,0.029,0.027
t1345,0.08,0.009
t1346,0.135,0.003
t1347,0.153,0.002
t1348,0.157,0.001
t1349,0.15,0.001
t1350,0.133,0
t1351,0.103,0
t1352,0.066,0
t1353,0.03,0
t1354,0.003,0
t1355,0,0
t1356,0,0.004
t1357,0,0.026
t1358,0,0.074
t1359,0,0.134
t1360,0,0.193
t1361,0,0.255
t1362,0,0.287
t1363,0,0.265
t1364,0,0.203
t1365,0,0.119
t1366,0,0.065
t1367,0,0.036
t1368,0.028,0.022
t1369,0.111,0.005
t1370,0.2,0.001
t1371,0.285,0.004
t1372,0.377,0.003
t1373,0.42,0.003
t1374,0.467,0.003
t1375,0.466,0.003
t1376,0.317,0.002
t1377,0.149,0.003
t1378,0.02,0.009
t1379,0,0.025
t1380,0,0.058
t1381,0,0.117
t1382,0,0.22
t1383,0,0.341
t1384,0,0.367
t1385,0,0.278
t1386,0,0.189
t1387,0,0.157
t1388,0,0.163
t1389,0,0.178
t1390,0,0.189
t1391,0,0.188
t1392,0.071,0.157
t1393,0.249,0.044
t1394,0.426,0.023
t1395,0.553,0.113
t1396,0.627,0.132
t1397,0.632,0.114
t1398,0.58,0.093
