t,s,w
t715,0,0.334
t716,0,0.191
t717,0,0.13
t718,0,0.058
t719,0,0.012
t720,0.002,0.001
t721,0.034,0
t722,0.092,0.001
t723,0.177,0.062
t724,0.295,0.272
t725,0.287,0.591
t726,0.271,0.772
t727,0.292,0.81
t728,0.255,0.812
t729,0.137,0.801
t730,0.01,0.708
t731,0,0.661
t732,0,0.635
t733,0,0.644
t734,0,0.647
t735,0,0.644
t736,0,0.637
t737,0,0.624
t738,0,0.605
t739,0,0.598
t740,0,0.602
t741,0,0.607
t742,0,0.61
t743,0,0.61
t744,0.039,0.591
t745,0.39,0.375
t746,0.627,0.332
t747,0.778,0.435
t748,0.855,0.382
t749,0.868,0.313
t750,0.821,0.267
t751,0.707,0.218
t752,0.526,0.207
t753,0.265,0.236
t754,0.025,0.329
t755,0,0.433
t756,0,0.485
t757,0,0.532
t758,0,0.563
t759,0,0.561
t760,0,0.536
t761,0,0.472
t762,0,0.43
t763,0,0.364
t764,0,0.271
t765,0,0.236
t766,0,0.245
t767,0,0.3
t768,0.011,0.341
t769,0.163,0.337
t770,0.454,0.363
t771,0.625,0.448
t772,0.718,0.403
t773,0.66,0.355
t774,0.458,0.289
t775,0.246,0.261
t776,0.156,0.228
t777,0.087,0.203
t778,0.004,0.231
t779,0,0.259
t780,0,0.334
t781,0,0.427
t782,0,0.528
t783,0,0.523
t784,0,0.513
t785,0,0.555
t786,0,0.607
t787,0,0.644
t788,0,0.675
t789,0,0.71
t790,0,0.713
t791,0,0.657
t792,0.003,0.573
t793,0.041,0.479
t794,0.108,0.604
t795,0.239,0.701
t796,0.495,0.799
t797,0.649,0.848
t798,0.736,0.863
t799,0.677,0.889
t800,0.51,0.916
t801,0.258,0.897
t802,0.028,0.82
t803,0,0.687
t804,0,0.596
t805,0,0.545
t806,0,0.491
t807,0,0.42
t808,0,0.346
t809,0,0.259
t810,0,0.19
t811,0,0.159
t812,0,0.155
t813,0,0.151
t814,0,0.138
t815,0,0.149
t816,0.025,0.193
t817,0.253,0.225
t818,0.361,0.187
t819,0.403,0.535
t820,0.526,0.731
t821,0.602,0.824
t822,0.642,0.865
t823,0.61,0.873
t824,0.493,0.854
t825,0.251,0.791
t826,0.028,0.778
t827,0,0.737
t828,0,0.706
t829,0,0.71
t830,0,0.722
t831,0,0.718
t832,0,0.711
t833,0,0.717
t834,0,0.729
t835,0,0.68
t836,0,0.61
t837,0,0.523
t838,0,0.431
t839,0,0.315
t840,0.04,0.2
t841,0.241,0.083
t842,0.487,0.005
t843,0.343,0.012
t844,0.161,0.058
t845,0.163,0.079
t846,0.168,0.109
t847,0.169,0.082
t848,0.179,0.082
t849,0.116,0.071
t850,0.011,0.041
t851,0,0.026
t852,0,0.037
t853,0,0.068
t854,0,0.111
t855,0,0.106
t856,0,0.046
t857,0,0.02
t858,0,0.028
t859,0,0.034
t860,0,0.025
t861,0,0.008
t862,0,0
t863,0,0
t864,0.007,0.003
t865,0.086,0.006
t866,0.153,0
t867,0.181,0
t868,0.188,0
t869,0.204,0
t870,0.174,0
t871,0.138,0.001
t872,0.146,0.004
t873,0.092,0.007
t874,0.008,0.005
t875,0,0.003
t876,0,0.001
t877,0,0.012
t878,0,0.068
t879,0,0.283
t880,0,0.558
t881,0,0.558
t882,0,0.505
t883,0,0.488
t884,0,0.633
t885,0,0.657
t886,0,0.58
t887,0,0.475
t888,0.009,0.433
t889,0.257,0.347
t890,0.515,0.247
t891,0.655,0.196
t892,0.748,0.171
t893,0.798,0.159
t894,0.759,0.161
t895,0.636,0.14
t896,0.412,0.18
t897,0.178,0.264
t898,0.01,0.317
t899,0,0.315
t900,0,0.273
t901,0,0.191
t902,0,0.108
t903,0,0.053
t904,0,0.028
t905,0,0.023
t906,0,0.047
t907,0,0.057
t908,0,0.046
t909,0,0.034
t910,0,0.013
t911,0,0.022
t912,0.018,0.029
t913,0.198,0.026
t914,0.292,0.041
t915,0.284,0.047
t916,0.462,0.07
t917,0.639,0.106
t918,0.671,0.154
t919,0.574,0.201
t920,0.386,0.213
t921,0.161,0.192
t922,0.011,0.119
t923,0,0.087
t924,0,0.097
t925,0,0.163
t926,0,0.329
t927,0,0.418
t928,0,0.454
t929,0,0.447
t930,0,0.395
t931,0,0.35
t932,0,0.323
t933,0,0.314
t934,0,0.264
t935,0,0.164
t936,0.005,0.167
t937,0.123,0.344
t938,0.412,0.3
t939,0.557,0.144
t940,0.395,0.058
t941,0.459,0.018
t942,0.487,0
t943,0.409,0
t944,0.29,0
t945,0.123,0.001
t946,0.011,0.036
t947,0,0.122
t948,0,0.12
t949,0,0.097
t950,0,0.062
t951,0,0.034
t952,0,0.021
t953,0,0.029
t954,0,0.022
t955,0,0.027
t956,0,0.046
t957,0,0.027
t958,0,0.034
t959,0,0.058
t960,0.005,0.081
t961,0.066,0.132
t962,0.149,0.174
t963,0.235,0.22
t964,0.302,0.259
t965,0.335,0.315
t966,0.395,0.37
t967,0.395,0.343
t968,0.315,0.313
t969,0.159,0.305
t970,0.019,0.252
t971,0,0.243
t972,0,0.342
t973,0,0.453
t974,0,0.499
t975,0,0.513
t976,0,0.519
t977,0,0.535
t978,0,0.55
t979,0,0.556
t980,0,0.545
t981,0,0.501
t982,0,0.428
t983,0,0.394
t984,0.044,0.374
t985,0.33,0.178
t986,0.574,0.045
t987,0.718,0.003
t988,0.764,0
t989,0.632,0.005
t990,0.443,0.052
t991,0.375,0.181
t992,0.341,0.391
t993,0.207,0.535
t994,0.025,0.605
t995,0,0.537
t996,0,0.367
t997,0,0.244
t998,0,0.182
t999,0,0.157
t1000,0,0.17
t1001,0,0.199
t1002,0,0.195
t1003,0,0.118
t1004,0,0.054
t1005,0,0.041
t1006,0,0.022
t1007,0,0.01
t1008,0.008,0.01
t1009,0.085,0.01
t1010,0.267,0.012
t1011,0.516,0.005
t1012,0.702,0
t1013,0.76,0
t1014,0.723,0
t1015,0.621,0
t1016,0.451,0
t1017,0.223,0.002
t1018,0.026,0.134
t1019,0,0.291
t1020,0,0.271
t1021,0,0.212
t1022,0,0.166
t1023,0,0.122
t1024,0,0.093
t1025,0,0.071
t1026,0,0.052
